# Convox-authored DCGM exporter metrics file.
#
# Adapted from NVIDIA dcgm-exporter chart 4.8.1's etc/dcp-metrics-included.csv
# (Apache 2.0). Adds the 9 fields Convox GPU observability dashboards require
# which the chart's stock default-counters.csv leaves disabled or absent:
#
#   - DCGM_FI_PROF_SM_ACTIVE              (D1 panel 3, D2 panel 3)
#   - DCGM_FI_PROF_PIPE_FP16_ACTIVE       (D2 panel 7)
#   - DCGM_FI_PROF_PIPE_FP32_ACTIVE       (D2 panel 7)
#   - DCGM_FI_PROF_PIPE_FP64_ACTIVE       (D2 panel 7)
#   - DCGM_FI_DEV_ECC_SBE_VOL_TOTAL       (D5 panel 4)
#   - DCGM_FI_DEV_ECC_DBE_VOL_TOTAL       (D5 panel 3)
#   - DCGM_FI_DEV_NVLINK_REPLAY_ERROR_COUNT_TOTAL  (D5 panel 5)
#   - DCGM_FI_DEV_CLOCKS_EVENT_REASONS    (D5 panel 6, D1 panel 8 —
#     renamed from the deprecated alias in DCGM 4.x)
#   - DCGM_FI_DEV_XID_ERRORS              (D5 panels 1+2; explicitly enabled
#     here to guarantee emission across chart versions)
#
# Chart 4.8.1's default-counters.csv exposes only 20 DCGM_FI_* fields;
# this override adds the 9 fields above plus the upstream profiling set.
#
# Format: comma-separated DCGM FIELD, Prometheus type, help message. Comment
# lines start with '#'.
#
# CI guard: provider/k8s/dcgm_csv_test.go validates every field name here
# against a whitelist pinned to the chart version in
# terraform/cluster/aws/variables.tf::gpu_observability_chart_version.
# Adding a new field requires a paired update in dcgm_csv_test.go's
# validDCGMFields map; CI fails fast on unrecognized / deprecated names.

# Clocks
DCGM_FI_DEV_SM_CLOCK,  gauge, SM clock frequency (in MHz).
DCGM_FI_DEV_MEM_CLOCK, gauge, Memory clock frequency (in MHz).

# Temperature
DCGM_FI_DEV_MEMORY_TEMP, gauge, Memory temperature (in C).
DCGM_FI_DEV_GPU_TEMP,    gauge, GPU temperature (in C).

# Power
DCGM_FI_DEV_POWER_USAGE,              gauge, Power draw (in W).
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION, counter, Total energy consumption since boot (in mJ).

# PCIE
DCGM_FI_DEV_PCIE_REPLAY_COUNTER, counter, Total number of PCIe retries.

# Utilization
DCGM_FI_DEV_GPU_UTIL,      gauge, GPU utilization (in %).
DCGM_FI_DEV_MEM_COPY_UTIL, gauge, Memory utilization (in %).
DCGM_FI_DEV_ENC_UTIL,      gauge, Encoder utilization (in %).
DCGM_FI_DEV_DEC_UTIL,      gauge, Decoder utilization (in %).

# Errors and violations (D5 health panels)
DCGM_FI_DEV_XID_ERRORS,            gauge,   Value of the last XID error encountered.
DCGM_FI_DEV_CLOCKS_EVENT_REASONS, gauge, Current clock event reasons (bitmask). Renamed in DCGM 4.x from the legacy throttle-reasons field name.

# Memory usage
DCGM_FI_DEV_FB_FREE,     gauge, Framebuffer memory free (in MiB).
DCGM_FI_DEV_FB_USED,     gauge, Framebuffer memory used (in MiB).
DCGM_FI_DEV_FB_RESERVED, gauge, Framebuffer memory reserved (in MiB).

# ECC (D5 panels 3+4)
DCGM_FI_DEV_ECC_SBE_VOL_TOTAL, counter, Total number of single-bit volatile ECC errors.
DCGM_FI_DEV_ECC_DBE_VOL_TOTAL, counter, Total number of double-bit volatile ECC errors.

# NVLink (D5 panel 5)
DCGM_FI_DEV_NVLINK_REPLAY_ERROR_COUNT_TOTAL, counter, Total number of NVLink retries.
DCGM_FI_DEV_NVLINK_BANDWIDTH_TOTAL,          counter, Total number of NVLink bandwidth counters for all lanes.

# Remapped rows
DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS, counter, Number of remapped rows for uncorrectable errors.
DCGM_FI_DEV_CORRECTABLE_REMAPPED_ROWS,   counter, Number of remapped rows for correctable errors.
DCGM_FI_DEV_ROW_REMAP_FAILURE,           gauge,   Whether remapping of rows has failed.

# vGPU
DCGM_FI_DEV_VGPU_LICENSE_STATUS, gauge, vGPU License status.

# Driver
DCGM_FI_DRIVER_VERSION, label, Driver Version.

# Profiling — leading ML efficiency metrics (D1, D2)
DCGM_FI_PROF_GR_ENGINE_ACTIVE,   gauge, Ratio of time the graphics engine is active.
DCGM_FI_PROF_SM_ACTIVE,          gauge, The ratio of cycles an SM has at least 1 warp assigned.
DCGM_FI_PROF_PIPE_TENSOR_ACTIVE, gauge, Ratio of cycles the tensor (HMMA) pipe is active.
DCGM_FI_PROF_DRAM_ACTIVE,        gauge, Ratio of cycles the device memory interface is active sending or receiving data.
DCGM_FI_PROF_PIPE_FP64_ACTIVE,   gauge, Ratio of cycles the fp64 pipes are active.
DCGM_FI_PROF_PIPE_FP32_ACTIVE,   gauge, Ratio of cycles the fp32 pipes are active.
DCGM_FI_PROF_PIPE_FP16_ACTIVE,   gauge, Ratio of cycles the fp16 pipes are active.
DCGM_FI_PROF_PCIE_TX_BYTES,      gauge, The rate of data transmitted over the PCIe bus per second.
DCGM_FI_PROF_PCIE_RX_BYTES,      gauge, The rate of data received over the PCIe bus per second.
